running 60 runs on 8 workers ...
[1/60] base         s0  kl=0.0001 P=0.72 acc_pre(l1/final/pn)=0.89/0.98/0.98 g=0.99 sep_pn=6.29 sep_fin=9.74 gap=4.26 JS=0.200 D_F=0.26  395s
[2/60] base         s1  kl=0.0001 P=0.71 acc_pre(l1/final/pn)=0.98/0.98/0.98 g=0.96 sep_pn=7.79 sep_fin=13.64 gap=4.22 JS=0.000 D_F=0.01  395s
[3/60] base         s2  kl=0.2845 P=0.46 acc_pre(l1/final/pn)=0.79/0.80/0.78 g=0.96 sep_pn=3.21 sep_fin=8.20 gap=2.29 JS=0.006 D_F=0.05  430s
[4/60] d0.1         s0  kl=0.0015 P=0.87 acc_pre(l1/final/pn)=0.77/0.90/0.91 g=1.10 sep_pn=1.12 sep_fin=1.80 gap=0.58 JS=0.000 D_F=0.02  461s
[5/60] d0.1         s1  kl=0.0018 P=0.65 acc_pre(l1/final/pn)=0.85/0.89/0.89 g=1.14 sep_pn=0.64 sep_fin=2.75 gap=0.50 JS=0.000 D_F=0.03  494s
[6/60] d0.1         s2  kl=0.0855 P=0.44 acc_pre(l1/final/pn)=0.85/0.89/0.89 g=1.04 sep_pn=0.47 sep_fin=1.99 gap=0.36 JS=0.000 D_F=0.03  494s
[7/60] d0.2         s0  kl=0.0012 P=1.11 acc_pre(l1/final/pn)=0.90/0.98/0.98 g=1.08 sep_pn=2.75 sep_fin=4.69 gap=1.55 JS=0.001 D_F=0.12  494s
[8/60] d0.2         s1  kl=0.0002 P=0.75 acc_pre(l1/final/pn)=0.98/0.98/0.98 g=1.00 sep_pn=3.75 sep_fin=9.17 gap=1.62 JS=0.001 D_F=0.02  494s
[9/60] d0.2         s2  kl=0.0015 P=0.64 acc_pre(l1/final/pn)=0.82/0.98/0.99 g=1.12 sep_pn=2.03 sep_fin=4.54 gap=1.57 JS=0.256 D_F=0.68  873s
[10/60] r0           s0  kl=0.0000 P=0.96 acc_pre(l1/final/pn)=0.72/0.79/0.79 g=1.02 sep_pn=0.60 sep_fin=0.75 gap=-0.03 JS=0.000 D_F=0.00  873s
[11/60] r0           s1  kl=0.0000 P=0.68 acc_pre(l1/final/pn)=0.72/0.81/0.81 g=1.06 sep_pn=0.48 sep_fin=0.66 gap=-0.00 JS=0.001 D_F=0.00  906s
[12/60] r0           s2  kl=0.0000 P=0.54 acc_pre(l1/final/pn)=0.72/0.79/0.79 g=0.93 sep_pn=0.31 sep_fin=0.33 gap=-0.02 JS=0.000 D_F=0.00  906s
[13/60] lam0         s0  kl=2.4823 P=0.68 acc_pre(l1/final/pn)=0.72/0.79/0.79 g=0.95 sep_pn=0.18 sep_fin=0.47 gap=0.00 JS=0.000 D_F=0.00  906s
[14/60] lam0         s1  kl=2.4951 P=0.63 acc_pre(l1/final/pn)=0.72/0.79/0.79 g=0.97 sep_pn=0.22 sep_fin=0.68 gap=-0.03 JS=0.000 D_F=0.00  906s
[15/60] lam0         s2  kl=2.4859 P=0.52 acc_pre(l1/final/pn)=0.71/0.78/0.78 g=0.86 sep_pn=0.16 sep_fin=0.37 gap=-0.01 JS=0.000 D_F=0.00  906s
[16/60] gain0.5      s0  kl=0.0003 P=0.73 acc_pre(l1/final/pn)=0.93/0.99/0.99 g=0.45 sep_pn=9.91 sep_fin=13.61 gap=4.26 JS=0.094 D_F=0.06  1012s
[17/60] gain0.5      s1  kl=0.0081 P=0.59 acc_pre(l1/final/pn)=0.97/0.98/0.98 g=0.45 sep_pn=9.91 sep_fin=14.25 gap=4.26 JS=0.038 D_F=0.01  1154s
[18/60] gain0.5      s2  kl=0.3917 P=0.44 acc_pre(l1/final/pn)=0.84/0.88/0.88 g=0.53 sep_pn=0.85 sep_fin=3.35 gap=0.33 JS=0.002 D_F=0.22  1221s
[19/60] gain2        s0  kl=0.0001 P=1.04 acc_pre(l1/final/pn)=0.84/0.98/0.98 g=2.62 sep_pn=4.14 sep_fin=5.73 gap=4.23 JS=0.296 D_F=0.27  1344s
[20/60] gain2        s1  kl=0.0001 P=1.07 acc_pre(l1/final/pn)=0.98/0.98/0.98 g=2.75 sep_pn=4.67 sep_fin=5.74 gap=4.24 JS=0.000 D_F=0.02  1344s
[21/60] gain2        s2  kl=0.0000 P=0.76 acc_pre(l1/final/pn)=0.75/0.98/0.98 g=2.30 sep_pn=6.26 sep_fin=6.90 gap=4.21 JS=0.326 D_F=0.16  1368s
[22/60] gain8        s0  kl=0.0012 P=1.17 acc_pre(l1/final/pn)=0.78/0.98/0.98 g=10.33 sep_pn=3.66 sep_fin=4.09 gap=4.21 JS=0.269 D_F=0.60  1368s
[23/60] gain8        s1  kl=0.0046 P=1.12 acc_pre(l1/final/pn)=0.84/0.98/0.98 g=11.87 sep_pn=1.67 sep_fin=2.01 gap=4.11 JS=0.054 D_F=0.43  1368s
[24/60] gain8        s2  kl=0.0012 P=0.75 acc_pre(l1/final/pn)=0.74/0.98/0.98 g=9.39 sep_pn=4.11 sep_fin=4.57 gap=4.22 JS=0.304 D_F=0.53  1438s
[25/60] lr0.1        s0  kl=0.0015 P=0.77 acc_pre(l1/final/pn)=0.97/0.98/0.98 g=0.88 sep_pn=6.13 sep_fin=9.06 gap=4.19 JS=0.000 D_F=0.01  1643s
[26/60] lr0.1        s1  kl=0.0003 P=0.93 acc_pre(l1/final/pn)=0.98/0.98/0.98 g=0.92 sep_pn=4.89 sep_fin=16.25 gap=4.21 JS=0.007 D_F=0.01  1681s
[27/60] lr0.1        s2  kl=0.0002 P=0.45 acc_pre(l1/final/pn)=0.94/0.99/0.98 g=0.77 sep_pn=6.04 sep_fin=12.06 gap=4.23 JS=0.000 D_F=0.04  1704s
[28/60] lr10         s0  kl=0.0001 P=1.23 acc_pre(l1/final/pn)=0.88/0.98/0.98 g=1.87 sep_pn=7.07 sep_fin=8.34 gap=4.21 JS=0.304 D_F=0.71  1704s
[29/60] lr10         s1  kl=0.0002 P=1.08 acc_pre(l1/final/pn)=0.95/0.98/0.98 g=1.94 sep_pn=6.83 sep_fin=8.74 gap=4.22 JS=0.330 D_F=0.67  1704s
[30/60] lr10         s2  kl=0.0002 P=0.81 acc_pre(l1/final/pn)=0.96/0.98/0.98 g=2.09 sep_pn=5.38 sep_fin=5.33 gap=4.25 JS=0.000 D_F=0.04  1704s
[31/60] base_noln    s0  kl=0.0002 P=1.32 acc_pre(l1/final/pn)=0.97/0.98/0.98 g=0.88 sep_pn=8.42 sep_fin=8.42 gap=4.23 JS=0.000 D_F=0.00  1789s
[32/60] base_noln    s1  kl=0.0000 P=1.06 acc_pre(l1/final/pn)=0.97/0.98/0.98 g=0.90 sep_pn=9.30 sep_fin=9.30 gap=4.22 JS=0.000 D_F=0.01  1789s
[33/60] base_noln    s2  kl=0.0002 P=0.96 acc_pre(l1/final/pn)=0.96/0.98/0.98 g=0.79 sep_pn=10.58 sep_fin=10.58 gap=4.22 JS=0.646 D_F=0.23  1937s
[34/60] d0.1_noln    s0  kl=0.0010 P=1.06 acc_pre(l1/final/pn)=0.89/0.98/0.98 g=0.83 sep_pn=3.03 sep_fin=3.03 gap=0.67 JS=0.005 D_F=0.22  2109s
[35/60] d0.1_noln    s1  kl=0.0059 P=0.97 acc_pre(l1/final/pn)=0.76/0.81/0.81 g=0.84 sep_pn=2.30 sep_fin=2.30 gap=0.35 JS=0.002 D_F=0.72  2109s
[36/60] d0.1_noln    s2  kl=0.2690 P=0.91 acc_pre(l1/final/pn)=0.77/0.82/0.82 g=0.68 sep_pn=1.55 sep_fin=1.55 gap=0.24 JS=0.000 D_F=0.01  2155s
[37/60] d0.2_noln    s0  kl=0.0007 P=1.18 acc_pre(l1/final/pn)=0.86/0.98/0.98 g=0.82 sep_pn=4.76 sep_fin=4.76 gap=1.59 JS=0.079 D_F=0.59  2155s
[38/60] d0.2_noln    s1  kl=0.0010 P=1.17 acc_pre(l1/final/pn)=0.86/0.98/0.98 g=0.89 sep_pn=3.00 sep_fin=3.00 gap=1.55 JS=0.000 D_F=0.03  2155s
[39/60] d0.2_noln    s2  kl=0.0002 P=0.93 acc_pre(l1/final/pn)=0.84/0.98/0.98 g=0.68 sep_pn=5.26 sep_fin=5.26 gap=1.62 JS=0.063 D_F=0.51  2155s
[40/60] r0_noln      s0  kl=0.0001 P=1.17 acc_pre(l1/final/pn)=0.73/0.79/0.79 g=0.81 sep_pn=1.34 sep_fin=1.34 gap=-0.01 JS=0.000 D_F=0.01  2223s
[41/60] r0_noln      s1  kl=0.0001 P=0.95 acc_pre(l1/final/pn)=0.73/0.83/0.83 g=0.82 sep_pn=1.48 sep_fin=1.48 gap=-0.06 JS=0.000 D_F=0.00  2387s
[42/60] r0_noln      s2  kl=0.0000 P=0.79 acc_pre(l1/final/pn)=0.73/0.80/0.80 g=0.65 sep_pn=0.62 sep_fin=0.62 gap=-0.05 JS=0.000 D_F=0.00  2534s
[43/60] lam0_noln    s0  kl=2.5779 P=1.20 acc_pre(l1/final/pn)=0.73/0.80/0.80 g=0.80 sep_pn=0.52 sep_fin=0.52 gap=0.00 JS=0.000 D_F=0.00  2534s
[44/60] lam0_noln    s1  kl=2.4896 P=1.00 acc_pre(l1/final/pn)=0.72/0.81/0.81 g=0.82 sep_pn=0.63 sep_fin=0.63 gap=-0.01 JS=0.000 D_F=0.00  2569s
[45/60] lam0_noln    s2  kl=2.4816 P=0.85 acc_pre(l1/final/pn)=0.72/0.80/0.80 g=0.65 sep_pn=0.34 sep_fin=0.34 gap=-0.02 JS=0.000 D_F=0.00  2609s
[46/60] gain0.5_noln s0  kl=0.0001 P=1.29 acc_pre(l1/final/pn)=0.96/0.98/0.98 g=0.62 sep_pn=11.03 sep_fin=11.03 gap=4.23 JS=0.000 D_F=0.01  2609s
[47/60] gain0.5_noln s1  kl=0.0001 P=1.10 acc_pre(l1/final/pn)=0.98/0.98/0.98 g=0.66 sep_pn=12.65 sep_fin=12.65 gap=4.23 JS=0.000 D_F=0.01  2619s
[48/60] gain0.5_noln s2  kl=0.0002 P=0.86 acc_pre(l1/final/pn)=0.95/0.98/0.98 g=0.55 sep_pn=10.79 sep_fin=10.79 gap=4.23 JS=0.000 D_F=0.02  2657s
[49/60] gain2_noln   s0  kl=0.0002 P=1.27 acc_pre(l1/final/pn)=0.80/0.98/0.98 g=2.37 sep_pn=4.54 sep_fin=4.54 gap=4.26 JS=0.137 D_F=0.40  2810s
[50/60] gain2_noln   s1  kl=0.0002 P=1.08 acc_pre(l1/final/pn)=0.98/0.98/0.98 g=2.66 sep_pn=7.03 sep_fin=7.03 gap=4.21 JS=0.000 D_F=0.06  2960s
[51/60] gain2_noln   s2  kl=0.0002 P=0.93 acc_pre(l1/final/pn)=0.79/0.98/0.98 g=2.18 sep_pn=6.19 sep_fin=6.19 gap=4.25 JS=0.329 D_F=0.39  2960s
[52/60] gain8_noln   s0  kl=0.0023 P=1.25 acc_pre(l1/final/pn)=0.91/0.99/0.99 g=10.05 sep_pn=2.41 sep_fin=2.41 gap=4.22 JS=0.001 D_F=0.01  2982s
[53/60] gain8_noln   s1  kl=0.0047 P=1.12 acc_pre(l1/final/pn)=0.90/0.98/0.98 g=10.78 sep_pn=1.90 sep_fin=1.90 gap=4.12 JS=0.046 D_F=3.77  2990s
[54/60] gain8_noln   s2  kl=0.0012 P=0.89 acc_pre(l1/final/pn)=0.75/0.98/0.98 g=9.59 sep_pn=3.48 sep_fin=3.48 gap=4.24 JS=0.281 D_F=3.50  3057s
[55/60] lr0.1_noln   s0  kl=0.0001 P=1.37 acc_pre(l1/final/pn)=0.97/0.98/0.98 g=0.86 sep_pn=7.52 sep_fin=7.52 gap=4.24 JS=0.000 D_F=0.01  3057s
[56/60] lr0.1_noln   s1  kl=0.0003 P=1.00 acc_pre(l1/final/pn)=0.96/0.98/0.98 g=0.90 sep_pn=9.31 sep_fin=9.31 gap=4.23 JS=0.000 D_F=0.01  3057s
[57/60] lr0.1_noln   s2  kl=0.0001 P=0.84 acc_pre(l1/final/pn)=0.94/0.98/0.98 g=0.74 sep_pn=9.07 sep_fin=9.07 gap=4.22 JS=0.000 D_F=0.03  3157s
[58/60] lr10_noln    s0  kl=0.0003 P=1.30 acc_pre(l1/final/pn)=0.95/0.98/0.98 g=1.37 sep_pn=8.35 sep_fin=8.35 gap=4.21 JS=0.035 D_F=0.11  3209s
[59/60] lr10_noln    s1  kl=0.0045 P=1.06 acc_pre(l1/final/pn)=0.83/0.98/0.98 g=1.22 sep_pn=7.64 sep_fin=7.64 gap=4.22 JS=0.430 D_F=0.63  3215s
[60/60] lr10_noln    s2  kl=0.0001 P=0.93 acc_pre(l1/final/pn)=0.86/0.98/0.98 g=1.25 sep_pn=5.96 sep_fin=5.96 gap=4.23 JS=0.346 D_F=0.39  3225s
done in 3226s -> results9/
